City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Alfred,ZA,72.18,clear sky,-33.5906,26.891,The Halyards Hotel
4,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
12,Ribeira Grande,PT,75.6,mist,38.5167,-28.7,Quinta da Meia Eira
13,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
14,Vila Franca Do Campo,PT,78.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
15,Richards Bay,ZA,73.53,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
17,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
18,Tamandare,BR,72.48,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
27,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
28,Bredasdorp,ZA,76.37,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Yambio,SS,76.06,moderate rain,4.5721,28.3955,Naivasha Hotel
33,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
45,Sao Joao Da Barra,BR,70.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
55,Jaguey Grande,CU,74.21,overcast clouds,22.5269,-81.1286,Barberia hendrix
57,Havelock,US,75.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
65,Kilindoni,TZ,77.77,light rain,-7.9139,39.6668,Bustani B&B
70,Piran,SI,79.48,clear sky,45.5278,13.5706,Hotel Histrion
83,Bodden Town,KY,79.93,scattered clouds,19.2833,-81.25,Will T Place
86,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
88,Virginia Beach,US,73.42,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
94,Port Elizabeth,ZA,73.09,clear sky,-33.918,25.5701,39 On Nile Guest House
97,Cravo Norte,CO,73.35,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
108,Mantua,IT,78.35,overcast clouds,45.1667,10.7833,Hotel la Favorita
111,Campos Gerais,BR,70.11,broken clouds,-21.235,-45.7586,Hotel Paraíso
123,Tambura,SS,74.68,moderate rain,5.6,27.4667,Rikito Lodge
128,Libreville,GA,78.82,broken clouds,0.3925,9.4537,Hotel Kreg Le Patio
133,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
134,Arco,IT,76.77,overcast clouds,45.9177,10.8867,Hotel Campagnola
137,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
138,Ilembula,TZ,76.73,broken clouds,-8.9,34.5833,Lipangala Classic Lodge
148,Lixourion,GR,79.29,clear sky,38.2019,20.4314,Hotel Summery
