City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,89.53,70,40,8.05,scattered clouds
1,Bengkulu,ID,-3.8004,102.2655,82.33,72,92,8.39,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,68.07,95,75,19.91,broken clouds
3,Port Alfred,ZA,-33.5906,26.891,72.18,64,0,3.0,clear sky
4,Cayenne,GF,4.9333,-52.3333,75.24,100,100,2.3,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,37.06,65,0,5.75,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,32.11,80,40,9.22,scattered clouds
7,Chuy,UY,-33.6971,-53.4616,49.06,97,14,7.14,few clouds
8,Thiruvananthapuram,IN,8.4833,76.9167,85.98,70,40,6.91,scattered clouds
9,Caravelas,BR,-17.7125,-39.2481,68.27,85,0,8.66,clear sky
10,Thinadhoo,MV,0.5333,72.9333,81.81,69,14,3.62,few clouds
11,Martyush,RU,56.4,61.8819,63.1,35,100,8.57,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,75.6,94,75,12.66,mist
13,East London,ZA,-33.0153,27.9116,72.54,53,0,14.97,clear sky
14,Vila Franca Do Campo,PT,37.7167,-25.4333,78.19,89,16,7.83,few clouds
15,Richards Bay,ZA,-28.783,32.0377,73.53,59,39,12.28,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,29.62,76,4,7.11,clear sky
17,Grand Gaube,MU,-20.0064,57.6608,79.2,56,86,11.01,overcast clouds
18,Tamandare,BR,-8.7597,-35.1047,72.48,89,60,5.01,broken clouds
19,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,1.14,broken clouds
20,Codrington,AU,-38.2667,141.9667,54.99,87,100,17.31,light rain
21,Saquarema,BR,-22.92,-42.5103,68.29,96,63,10.27,broken clouds
22,Nizhniy Kislyay,RU,50.8497,40.1719,56.98,80,100,8.23,overcast clouds
23,Beckley,US,37.7782,-81.1882,52.66,97,7,1.34,clear sky
24,Lodwar,KE,3.1191,35.5973,89.31,38,58,11.81,broken clouds
25,Zhezkazgan,KZ,47.8043,67.7144,67.98,18,0,17.9,clear sky
26,Hermanus,ZA,-34.4187,19.2345,69.8,49,0,1.99,clear sky
27,Saldanha,ZA,-33.0117,17.9442,77.05,41,0,6.58,clear sky
28,Bredasdorp,ZA,-34.5322,20.0403,76.37,30,0,3.74,clear sky
29,Yambio,SS,4.5721,28.3955,76.06,89,100,2.62,moderate rain
30,Bathsheba,BB,13.2167,-59.5167,83.01,74,75,11.5,broken clouds
31,Henties Bay,NA,-22.116,14.2845,64.35,69,5,5.97,clear sky
32,Artyom,AZ,40.4723,50.333,80.74,71,0,12.24,clear sky
33,Souillac,MU,-20.5167,57.5167,79.18,44,75,14.97,broken clouds
34,Biltine,TD,14.5333,20.9167,87.66,53,60,7.31,broken clouds
35,Pontal Do Parana,BR,-25.6533,-48.5128,61.27,95,100,4.21,overcast clouds
36,Bud,US,39.447,-86.1758,58.05,98,0,3.98,clear sky
37,Busselton,AU,-33.65,115.3333,57.7,68,73,19.55,broken clouds
38,Santa Cruz,BO,-17.8,-63.1667,62.06,77,75,14.97,broken clouds
